SEQN,SDDSRVYR,RIDSTATR,RIAGENDR,RIDAGEYR,RIDAGEMN,RIDRETH1,RIDRETH3,RIDEXMON,RIDEXAGM,DMQMILIZ,DMQADFC,DMDBORN4,DMDCITZN,DMDYRSUS,DMDEDUC3,DMDEDUC2,DMDMARTL,RIDEXPRG,SIALANG,SIAPROXY,SIAINTRP,FIALANG,FIAPROXY,FIAINTRP,MIALANG,MIAPROXY,MIAINTRP,AIALANGA,DMDHHSIZ,DMDFMSIZ,DMDHHSZA,DMDHHSZB,DMDHHSZE,DMDHRGND,DMDHRAGE,DMDHRBR4,DMDHREDU,DMDHRMAR,DMDHSEDU,WTINT2YR,WTMEC2YR,SDMVPSU,SDMVSTRA,INDHHIN2,INDFMIN2,INDFMPIR
88906,9,2,1,29,,1,1,1,,2,,1,1,,,4,6,,1,2,2,1,2,2,1,2,2,1,2,1,0,0,0,2,26,1,5,6,,45655.88,54441.19,1,128,10,8,4.25
88907,9,2,2,44,,1,1,1,,2,,2,2,7,,4,1,2,1,2,2,1,2,2,1,2,2,1,4,4,0,2,0,1,49,1,4,1,4,26823.52,27851.73,1,127,7,7,1.55
88908,9,2,2,54,,4,4,1,,2,,1,1,,,3,1,,1,2,2,1,2,2,1,2,2,1,7,7,1,2,0,2,54,1,3,1,,22337.62,22684.12,1,124,8,8,1.22
88909,9,2,2,0,10,3,3,2,11,,,1,1,,,,,,1,1,2,1,2,2,,,,,3,3,1,0,0,1,33,1,5,1,5,15937.73,17420.89,2,120,15,15,5.00
88910,9,2,2,29,,4,4,2,,2,,1,1,,,5,5,2,1,2,2,1,2,2,,,,,1,1,0,0,0,2,29,1,5,5,,32337.79,31664.16,2,129,7,7,3.62
88911,9,2,1,34,,3,3,1,,2,,1,1,,,5,1,,1,2,2,1,2,2,1,2,2,1,4,4,2,0,0,1,34,1,5,1,5,42892.47,44219.55,2,125,8,8,2.06
88912,9,2,1,27,,4,4,2,,1,2,1,1,,,3,6,,1,2,2,1,2,2,1,2,2,1,2,1,0,0,0,2,24,1,3,6,,43338.64,43336.18,1,130,12,5,1.74
88913,9,2,1,12,,2,2,1,145,,,1,1,,6,,,,1,1,2,1,2,2,1,2,2,1,4,4,0,2,0,2,34,1,4,1,3,24390.94,24434.14,1,121,10,10,3.05
88914,9,2,1,25,,3,3,1,,2,,1,1,,,5,1,,1,2,2,1,2,2,1,2,2,1,2,2,0,0,0,1,25,1,5,1,5,72005.58,86487.05,2,122,6,6,1.56
88915,9,2,1,37,,1,1,1,,2,,2,2,5,,3,1,,2,2,2,2,2,2,1,2,1,2,6,6,1,2,0,2,35,2,2,1,3,24494.47,31374.57,1,120,4,4,0.57
88916,9,2,2,70,,4,4,2,,2,,1,1,,,4,3,,1,2,2,1,2,2,1,2,2,,1,1,0,0,1,2,70,1,4,3,,16427.32,16409.65,2,126,2,2,0.80
88917,9,2,1,5,,4,4,2,70,,,1,1,,,,,,1,1,2,1,2,2,,,,,4,4,2,0,0,2,58,1,4,5,,14090.30,16383.59,1,126,5,5,0.82
88918,9,2,2,18,,4,4,2,216,2,,1,1,,12,,,,1,2,2,1,2,2,1,2,2,1,6,6,2,1,0,2,59,1,3,3,,10211.30,9977.86,1,123,13,13,
88919,9,2,2,68,,5,7,2,,2,,1,1,,,4,3,,1,2,2,1,2,2,1,2,2,1,3,3,0,0,3,1,80,,,1,2,148133.99,146751.04,2,120,99,99,
88920,9,2,2,33,,5,6,1,,2,,2,1,6,,5,1,2,1,2,2,1,2,2,1,2,2,1,3,3,1,0,0,1,34,1,5,1,5,20567.04,21833.44,2,121,15,15,5.00
88921,9,2,2,1,21,3,3,2,21,,,1,1,,,,,,1,1,2,1,2,2,,,,,3,3,1,0,0,1,27,1,5,1,5,18655.33,18276.34,2,124,5,5,1.08
88922,9,2,2,8,,5,6,2,103,,,2,1,3,2,,,,1,1,2,1,2,2,1,2,2,1,3,3,0,1,0,2,44,1,5,1,5,12309.95,14440.08,2,131,14,14,4.66
88923,9,2,1,0,8,3,3,2,9,,,1,1,,,,,,1,1,2,1,2,2,,,,,3,3,1,0,0,1,34,1,5,1,5,11465.14,12312.05,1,131,15,15,5.00
